command_tested,tick_delay,command_duration,success
RIGHT,7,10,1.0
RIGHT,7,11,1.0
RIGHT,7,12,0.0
RIGHT,7,13,1.0
RIGHT,7,14,1.0
RIGHT,7,15,1.0
RIGHT,7,16,1.0
RIGHT,7,17,1.0
RIGHT,7,18,1.0
RIGHT,7,19,1.0
RIGHT,7,20,1.0
RIGHT,7,21,1.0
RIGHT,7,22,1.0
RIGHT,7,23,1.0
RIGHT,7,24,1.0
RIGHT,7,25,1.0
RIGHT,7,26,1.0
RIGHT,7,27,1.0
RIGHT,7,28,1.0
RIGHT,7,29,1.0
RIGHT,7,30,1.0
RIGHT,8,0,1.0
RIGHT,8,1,0.0
RIGHT,8,2,0.0
RIGHT,8,3,0.0
RIGHT,8,4,1.0
RIGHT,8,5,1.0
RIGHT,8,6,1.0
RIGHT,8,7,1.0
RIGHT,8,8,1.0
RIGHT,8,9,1.0
RIGHT,8,10,1.0
RIGHT,8,11,0.0
RIGHT,8,12,0.0
RIGHT,8,13,1.0
RIGHT,8,14,1.0
RIGHT,8,15,1.0
RIGHT,8,16,1.0
RIGHT,8,17,1.0
RIGHT,8,18,1.0
RIGHT,8,19,1.0
RIGHT,8,20,1.0
RIGHT,8,21,1.0
RIGHT,8,22,1.0
RIGHT,8,23,1.0
RIGHT,8,24,1.0
RIGHT,8,25,1.0
RIGHT,8,26,1.0
RIGHT,8,27,1.0
RIGHT,8,28,1.0
RIGHT,8,29,1.0
RIGHT,8,30,1.0
RIGHT,9,0,1.0
RIGHT,9,1,0.0
RIGHT,9,2,0.0
RIGHT,9,3,1.0
RIGHT,9,4,1.0
RIGHT,9,5,0.0
RIGHT,9,6,0.0
RIGHT,9,7,0.0
RIGHT,9,8,0.0
RIGHT,9,9,0.0
RIGHT,9,10,1.0
RIGHT,9,11,0.0
RIGHT,9,12,1.0
RIGHT,9,13,1.0
RIGHT,9,14,1.0
RIGHT,9,15,1.0
RIGHT,9,16,1.0
RIGHT,9,17,1.0
RIGHT,9,18,1.0
RIGHT,9,19,1.0
RIGHT,9,20,1.0
RIGHT,9,21,1.0
RIGHT,9,22,1.0
RIGHT,9,23,1.0
RIGHT,9,24,1.0
RIGHT,9,25,1.0
RIGHT,9,26,1.0
RIGHT,9,27,1.0
RIGHT,9,28,1.0
RIGHT,9,29,1.0
RIGHT,9,30,1.0
RIGHT,10,0,1.0
RIGHT,10,1,0.0
RIGHT,10,2,0.0
RIGHT,10,3,0.0
RIGHT,10,4,0.0
RIGHT,10,5,0.0
RIGHT,10,6,0.0
RIGHT,10,7,0.0
RIGHT,10,8,1.0
RIGHT,10,9,1.0
RIGHT,10,10,1.0
RIGHT,10,11,1.0
RIGHT,10,12,1.0
RIGHT,10,13,1.0
RIGHT,10,14,1.0
RIGHT,10,15,1.0
RIGHT,10,16,1.0
RIGHT,10,17,1.0
RIGHT,10,18,1.0
RIGHT,10,19,1.0
RIGHT,10,20,1.0
RIGHT,10,21,1.0
RIGHT,10,22,1.0
RIGHT,10,23,1.0
RIGHT,10,24,1.0
RIGHT,10,25,1.0
RIGHT,10,26,1.0
RIGHT,10,27,1.0
RIGHT,10,28,1.0
RIGHT,10,29,1.0
RIGHT,10,30,1.0
RIGHT,11,0,1.0
RIGHT,11,1,0.0
RIGHT,11,2,0.0
RIGHT,11,3,0.0
RIGHT,11,4,1.0
RIGHT,11,5,1.0
RIGHT,11,6,0.0
RIGHT,11,7,0.0
RIGHT,11,8,0.0
RIGHT,11,9,0.0
RIGHT,11,10,0.0
RIGHT,11,11,1.0
RIGHT,11,12,1.0
RIGHT,11,13,1.0
RIGHT,11,14,1.0
RIGHT,11,15,1.0
RIGHT,11,16,0.0
RIGHT,11,17,1.0
RIGHT,11,18,1.0
RIGHT,11,19,1.0
RIGHT,11,20,1.0
RIGHT,11,21,1.0
RIGHT,11,22,1.0
RIGHT,11,23,1.0
RIGHT,11,24,1.0
RIGHT,11,25,1.0
RIGHT,11,26,1.0
RIGHT,11,27,1.0
RIGHT,11,28,1.0
RIGHT,11,29,0.0
RIGHT,11,30,1.0
RIGHT,12,0,1.0
RIGHT,12,1,0.0
RIGHT,12,2,0.0
RIGHT,12,3,0.0
RIGHT,12,4,0.0
RIGHT,12,5,0.0
RIGHT,12,6,0.0
RIGHT,12,7,0.0
RIGHT,12,8,0.0
RIGHT,12,9,1.0
RIGHT,12,10,0.0
RIGHT,12,11,1.0
RIGHT,12,12,1.0
RIGHT,12,13,0.0
RIGHT,12,14,0.0
RIGHT,12,15,0.0
RIGHT,12,16,0.0
RIGHT,12,17,0.0
RIGHT,12,18,0.0
RIGHT,12,19,1.0
RIGHT,12,20,0.0
RIGHT,12,21,1.0
RIGHT,12,22,0.0
RIGHT,12,23,1.0
RIGHT,12,24,0.0
RIGHT,12,25,1.0
RIGHT,12,26,1.0
RIGHT,12,27,1.0
RIGHT,12,28,0.0
RIGHT,12,29,0.0
RIGHT,12,30,1.0
RIGHT,13,0,0.0
RIGHT,13,1,0.0
RIGHT,13,2,0.0
RIGHT,13,3,0.0
RIGHT,13,4,0.0
RIGHT,13,5,0.0
RIGHT,13,6,0.0
RIGHT,13,7,0.0
RIGHT,13,8,0.0
RIGHT,13,9,0.0
RIGHT,13,10,0.0
RIGHT,13,11,0.0
RIGHT,13,12,0.0
RIGHT,13,13,0.0
RIGHT,13,14,0.0
RIGHT,13,15,0.0
RIGHT,13,16,0.0
RIGHT,13,17,0.0
RIGHT,13,18,0.0
RIGHT,13,19,0.0
RIGHT,13,20,0.0
RIGHT,13,21,0.0
RIGHT,13,22,1.0
RIGHT,13,23,1.0
RIGHT,13,24,0.0
RIGHT,13,25,0.0
RIGHT,13,26,0.0
RIGHT,13,27,0.0
RIGHT,13,28,0.0
RIGHT,13,29,1.0
RIGHT,13,30,0.0
