tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.3683234141917554,33,17.38466466607694,2.9349207878112793,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.7278823852539,54.9072151184082,-75.31633758544922,54.433868408203125,14,LEFT,True,1.0743763466242318
2,0.5528253810383246,35,17.27981049668617,1.353816270828247,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.8443832397461,55.04264831542969,-75.41617584228516,54.42817306518555,14,LEFT,True,1.0743763466242318
3,0.5655743750943745,38,17.14262728619512,1.4595900774002075,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.98223114013672,55.044189453125,-75.56593322753906,54.41963195800781,14,LEFT,True,1.0743763466242318
4,0.5527227790717517,41,16.9894910097827,1.5925543308258057,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.13481903076172,55.03123092651367,-75.71569061279297,54.41109085083008,14,LEFT,True,1.0743763466242318
5,0.534922535713391,44,16.823258212608266,1.7239688634872437,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.30024719238281,55.014793395996094,-75.86544799804688,54.402549743652344,14,LEFT,True,1.0743763466242318
6,0.5149648796569805,48,16.643884843976053,1.8545341491699219,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.47865295410156,54.99592590332031,-76.06511688232422,54.39116287231445,14,LEFT,True,1.0743763466242318
7,0.5003386363787501,51,16.45139138457201,1.9834160804748535,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.67034912109375,54.97841262817383,-76.21487426757812,54.38262176513672,14,LEFT,True,1.0743763466242318
8,0.48728147045176806,56,16.24615714340422,2.1091935634613037,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.87476348876953,54.9600830078125,-76.46446990966797,54.368385314941406,14,LEFT,True,1.0743763466242318
9,0.4727709612665375,60,16.028512782386795,2.2320668697357178,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.09146881103516,54.93985366821289,-76.66414642333984,54.356998443603516,14,LEFT,True,1.0743763466242318
10,0.4565697744049463,64,15.798747810586244,2.352004051208496,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.32015991210938,54.91755676269531,-76.86382293701172,54.34560775756836,14,LEFT,True,1.0743763466242318
11,0.4385325564158267,69,15.557155027249008,2.4690005779266357,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.56053161621094,54.89305877685547,-77.11341857910156,54.33137130737305,14,LEFT,True,1.0743763466242318
12,0.41851675480606915,74,15.30406037329054,2.5830793380737305,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.81224822998047,54.86625289916992,-77.3630142211914,54.317138671875,14,LEFT,True,1.0743763466242318
13,0.39636529208159416,79,15.039739786660416,2.6942481994628906,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.07501983642578,54.83697509765625,-77.61260223388672,54.30290222167969,14,LEFT,True,1.0743763466242318
14,0.37196044483627505,85,14.764505707523892,2.8025357723236084,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.34852600097656,54.80512237548828,-77.91211700439453,54.28582000732422,14,LEFT,True,1.0743763466242318
15,0.34514082889592457,91,14.47865278611583,2.907968521118164,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.63246154785156,54.77054977416992,-78.21163177490234,54.26873779296875,14,LEFT,True,1.0743763466242318
16,0.3226958406880728,97,14.18231679192052,3.0107972621917725,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.92698669433594,54.73670196533203,-78.51114654541016,54.25165557861328,14,LEFT,True,1.0743763466242318
17,0.3018092666683014,103,13.875853342792228,3.1107003688812256,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.23161315917969,54.70205307006836,-78.81066131591797,54.23457336425781,14,LEFT,True,1.0743763466242318
18,0.2796505565541197,109,13.559592184201783,3.207843542098999,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.54592895507812,54.66563034057617,-79.11017608642578,54.217491149902344,14,LEFT,True,1.0743763466242318
19,0.25605457546360194,115,13.233786255715797,3.3022756576538086,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.86967468261719,54.62733459472656,-79.40968322753906,54.20040512084961,14,LEFT,True,1.0743763466242318
20,0.2309540327313417,122,12.898746121552174,3.394043445587158,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.2025375366211,54.58710861206055,-79.75911712646484,54.180477142333984,14,LEFT,True,1.0743763466242318
