tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,-0.3382878509975589,34,17.35360253861376,2.6429927349090576,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.71632385253906,54.16875457763672,-75.36625671386719,54.43102264404297,1,RIGHT,True,0.47217696548164634
2,-0.4702816301338941,36,17.215458820530078,1.624454140663147,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.85088348388672,54.05930709838867,-75.46609497070312,54.42532730102539,1,RIGHT,True,0.47217696548164634
3,-0.47217696548164634,40,17.047423427347482,1.7733936309814453,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.01863861083984,54.04749298095703,-75.665771484375,54.4139404296875,1,RIGHT,True,0.47217696548164634
4,-0.4556093536666782,43,16.86455426599825,1.9113599061965942,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.20150756835938,54.044734954833984,-75.8155288696289,54.405399322509766,1,RIGHT,True,0.47217696548164634
5,-0.43334092697329735,47,16.66831459704992,2.0410163402557373,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.3978271484375,54.04439163208008,-76.01520538330078,54.39400863647461,1,RIGHT,True,0.47217696548164634
6,-0.40843585468366167,51,16.459361737377698,2.1655311584472656,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.6069107055664,54.045433044433594,-76.21487426757812,54.38262176513672,1,RIGHT,True,0.47217696548164634
7,-0.38940580803258723,56,16.23776833502915,2.2885186672210693,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.82855224609375,54.04353332519531,-76.46446990966797,54.368385314941406,1,RIGHT,True,0.47217696548164634
8,-0.37212181200721184,60,16.003989788690404,2.4077587127685547,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.06237030029297,54.04111862182617,-76.66414642333984,54.356998443603516,1,RIGHT,True,0.47217696548164634
9,-0.35310575431412056,65,15.758417468921364,2.523858070373535,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.30801391601562,54.03946304321289,-76.91374206542969,54.3427619934082,1,RIGHT,True,0.47217696548164634
10,-0.3321037436432767,70,15.501356999609824,2.6369144916534424,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.565185546875,54.03877639770508,-77.16333770751953,54.32852554321289,1,RIGHT,True,0.47217696548164634
11,-0.31533498585079556,76,15.232951303143349,2.747673273086548,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.8336410522461,54.03592300415039,-77.46285247802734,54.31144332885742,1,RIGHT,True,0.47217696548164634
12,-0.3000409851887562,81,14.95357078292413,2.8552310466766357,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.1130599975586,54.032474517822266,-77.71244049072266,54.29720687866211,1,RIGHT,True,0.47217696548164634
13,-0.28366861948899086,87,14.663543701539059,2.959780693054199,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.40314483642578,54.029354095458984,-78.01195526123047,54.28012466430664,1,RIGHT,True,0.47217696548164634
14,-0.2660746315158006,93,14.36316493199327,3.06140398979187,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.70360565185547,54.02667999267578,-78.31147003173828,54.26304244995117,1,RIGHT,True,0.47217696548164634
15,-0.24720197157361384,99,14.052713500758594,3.1601648330688477,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.01416778564453,54.024539947509766,-78.6109848022461,54.2459602355957,1,RIGHT,True,0.47217696548164634
16,-0.2270033585951722,105,13.732498899950109,3.2561168670654297,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.33452606201172,54.023006439208984,-78.9104995727539,54.228878021240234,1,RIGHT,True,0.47217696548164634
17,-0.20541120687088713,112,13.40279349668264,3.349278688430786,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.66441345214844,54.02216339111328,-79.25992584228516,54.208946228027344,1,RIGHT,True,0.47217696548164634
18,-0.18239343898122878,119,13.063908259206618,3.4396796226501465,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.00352478027344,54.02208709716797,-79.60935974121094,54.18901824951172,1,RIGHT,True,0.47217696548164634
19,-0.16330795115688027,126,12.71600846150103,3.5274429321289062,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.35159301757812,54.02001190185547,-79.95879364013672,54.169090270996094,1,RIGHT,True,0.47217696548164634
20,-0.14607760181729823,133,12.359393410915489,3.612650156021118,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.70835876464844,54.017059326171875,-80.3082275390625,54.1491584777832,1,RIGHT,True,0.47217696548164634
21,-0.12853376350691886,140,11.994335306009416,3.69526743888855,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.07357788085938,54.013954162597656,-80.65766143798828,54.12923049926758,1,RIGHT,True,0.47217696548164634
22,-0.1105814673571775,148,11.621104891686173,3.775388240814209,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.44698333740234,54.01075744628906,-81.0570068359375,54.10645294189453,1,RIGHT,True,0.47217696548164634
23,-0.09223291035717145,155,11.239948112060386,3.85309100151062,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.82833099365234,54.00747299194336,-81.40644073486328,54.08652114868164,1,RIGHT,True,0.47217696548164634
24,-0.07350365063618973,163,10.851119657569052,3.9283831119537354,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.21736907958984,54.00412368774414,-81.80579376220703,54.06374740600586,1,RIGHT,True,0.47217696548164634
25,-0.05440925555422379,171,10.454850631838955,4.001248836517334,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.6138687133789,54.00070571899414,-82.20513916015625,54.04096984863281,1,RIGHT,True,0.47217696548164634
