tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.011576738907463828,40,16.90898002898731,5.036752700805664,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.177490234375,54.51014709472656,-75.76560974121094,54.40824508666992,6,RIGHT,False,35.8217664511998
2,0.012090830399814248,52,16.402958737811637,4.991028785705566,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.6828384399414,54.483890533447266,-76.2647933959961,54.3797721862793,6,RIGHT,False,35.8217664511998
3,0.01107150284862926,62,15.89327957464932,5.121094703674316,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.19166564941406,54.45443344116211,-76.76398468017578,54.35130310058594,6,RIGHT,False,35.8217664511998
4,0.012448185250053324,72,15.385704428452202,5.074188232421875,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.69835662841797,54.42448043823242,-77.26317596435547,54.32283020019531,6,RIGHT,False,35.8217664511998
5,0.010871559080170371,82,14.878278387368141,4.998106002807617,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.20497131347656,54.395790100097656,-77.76235961914062,54.29436111450195,6,RIGHT,False,35.8217664511998
6,0.009428624163851967,92,14.368024254608954,5.1262359619140625,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.71435546875,54.366004943847656,-78.26155090332031,54.26588821411133,6,RIGHT,False,35.8217664511998
7,0.010790538282058882,103,13.860011669814837,5.07769775390625,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.22148132324219,54.335994720458984,-78.81066131591797,54.23457336425781,6,RIGHT,False,35.8217664511998
8,0.00923193989666948,113,13.352234365158521,5.001406669616699,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.72844696044922,54.307289123535156,-79.30984497070312,54.20610046386719,6,RIGHT,False,35.8217664511998
9,0.006377567960226671,123,12.843910842213488,5.142272472381592,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.23592376708984,54.27796173095703,-79.80903625488281,54.17763137817383,6,RIGHT,False,35.8217664511998
10,0.006755005316576882,133,12.337303266809972,5.076376914978027,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.74160766601562,54.247352600097656,-80.3082275390625,54.1491584777832,6,RIGHT,False,35.8217664511998
11,0.0064153050487487226,143,11.827560096388305,5.019909381866455,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.25049591064453,54.21784210205078,-80.80741119384766,54.120689392089844,6,RIGHT,False,35.8217664511998
12,0.0036317728034836756,153,11.3180295357037,5.151277542114258,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.75917053222656,54.18832015991211,-81.30660247802734,54.09221649169922,6,RIGHT,False,35.8217664511998
13,0.003980159690603407,163,10.81038672047295,5.113979339599609,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.2658920288086,54.157718658447266,-81.80579376220703,54.06374740600586,6,RIGHT,False,35.8217664511998
14,0.00523685614482038,174,10.302415761750586,5.039767265319824,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.77298736572266,54.127899169921875,-82.35489654541016,54.03242874145508,6,RIGHT,False,35.8217664511998
15,0.0027613273735121145,184,9.794759302112947,5.108804702758789,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.27983093261719,54.099178314208984,-82.85408782958984,54.00395584106445,6,RIGHT,False,35.8217664511998
16,0.0024168112753154033,194,9.284535651141193,5.127896308898926,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.78916931152344,54.06912612915039,-83.35327911376953,53.975486755371094,6,RIGHT,False,35.8217664511998
17,0.004160493420881962,204,8.777684394734287,5.127138137817383,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.29513549804688,54.0391731262207,-83.85246276855469,53.94701385498047,6,RIGHT,False,35.8217664511998
18,0.0038005750028060016,214,8.268746155092954,5.033657073974609,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.80327606201172,54.01068115234375,-84.35165405273438,53.91854476928711,6,RIGHT,False,35.8217664511998
19,0.0011150933368594912,224,7.760339998915624,5.149730682373047,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.31087493896484,53.98203659057617,-84.85084533691406,53.890071868896484,6,RIGHT,False,35.8217664511998
