tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.002285983921464391,33,17.40369623906212,0.2254161834716797,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.6830062866211,54.52838134765625,-75.31633758544922,54.433868408203125,4,RIGHT,False,24.45458723962882
2,0.008493469704085228,33,17.37586575750568,0.3464024066925049,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.71096801757812,54.52988052368164,-75.31633758544922,54.433868408203125,4,RIGHT,False,24.45458723962882
3,0.011368243021253898,34,17.332972025732662,0.48993736505508423,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.75386810302734,54.52876281738281,-75.36625671386719,54.43102264404297,4,RIGHT,False,24.45458723962882
4,0.011390035301737378,35,17.273226538174168,0.6711980104446411,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.81352996826172,54.52559280395508,-75.41617584228516,54.42817306518555,4,RIGHT,False,24.45458723962882
5,0.01198698383800635,37,17.197890419804526,0.7815783619880676,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.88875579833984,54.52151107788086,-75.5160140991211,54.422481536865234,4,RIGHT,False,24.45458723962882
6,0.012272997658103982,38,17.10919526077668,0.9207742810249329,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.97732543945312,54.516780853271484,-75.56593322753906,54.41963195800781,4,RIGHT,False,24.45458723962882
7,0.012637757786010482,40,17.005295565918278,1.0755195617675781,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.0810775756836,54.51123046875,-75.665771484375,54.4139404296875,4,RIGHT,False,24.45458723962882
8,0.013521630666094919,43,16.8871789005594,1.2287201881408691,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.19902038574219,54.50481414794922,-75.8155288696289,54.405399322509766,4,RIGHT,False,24.45458723962882
9,0.014296657820778887,45,16.753773744621043,1.3747082948684692,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.33223724365234,54.49770736694336,-75.91536712646484,54.39970397949219,4,RIGHT,False,24.45458723962882
10,0.014909808442681742,48,16.604733197610994,1.527288556098938,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.48107147216797,54.489837646484375,-76.06511688232422,54.39116287231445,4,RIGHT,False,24.45458723962882
