command_tested,tick_delay,command_duration,success
LEFT,3,10,1.0
LEFT,3,11,1.0
LEFT,3,12,1.0
LEFT,3,13,1.0
LEFT,3,14,1.0
LEFT,3,15,1.0
LEFT,3,16,1.0
LEFT,3,17,1.0
LEFT,3,18,1.0
LEFT,3,19,1.0
LEFT,3,20,1.0
LEFT,3,21,1.0
LEFT,3,22,1.0
LEFT,3,23,1.0
LEFT,3,24,1.0
LEFT,3,25,1.0
LEFT,3,26,1.0
LEFT,3,27,1.0
LEFT,3,28,1.0
LEFT,3,29,1.0
LEFT,3,30,1.0
LEFT,4,0,1.0
LEFT,4,1,0.0
LEFT,4,2,0.0
LEFT,4,3,0.0
LEFT,4,4,0.0
LEFT,4,5,0.0
LEFT,4,6,1.0
LEFT,4,7,1.0
LEFT,4,8,1.0
LEFT,4,9,1.0
LEFT,4,10,1.0
LEFT,4,11,1.0
LEFT,4,12,1.0
LEFT,4,13,1.0
LEFT,4,14,1.0
LEFT,4,15,1.0
LEFT,4,16,1.0
LEFT,4,17,1.0
LEFT,4,18,1.0
LEFT,4,19,1.0
LEFT,4,20,1.0
LEFT,4,21,1.0
LEFT,4,22,1.0
LEFT,4,23,1.0
LEFT,4,24,1.0
LEFT,4,25,1.0
LEFT,4,26,1.0
LEFT,4,27,1.0
LEFT,4,28,1.0
LEFT,4,29,1.0
LEFT,4,30,1.0
LEFT,5,0,1.0
LEFT,5,1,0.0
LEFT,5,2,0.0
LEFT,5,3,0.0
LEFT,5,4,0.0
LEFT,5,5,1.0
LEFT,5,6,1.0
LEFT,5,7,1.0
LEFT,5,8,1.0
LEFT,5,9,1.0
LEFT,5,10,1.0
LEFT,5,11,1.0
LEFT,5,12,1.0
LEFT,5,13,1.0
LEFT,5,14,1.0
LEFT,5,15,1.0
LEFT,5,16,1.0
LEFT,5,17,1.0
LEFT,5,18,1.0
LEFT,5,19,1.0
LEFT,5,20,1.0
LEFT,5,21,1.0
LEFT,5,22,1.0
LEFT,5,23,1.0
LEFT,5,24,1.0
LEFT,5,25,1.0
LEFT,5,26,1.0
LEFT,5,27,1.0
