failure_type,max_cte,max_cte_tick,completed_turn,hit_obstacle,continued_straight,continued_left,continued_right,reached_waypoint,min_speed,min_distance_to_alternative,min_distance_to_left,min_distance_to_right,min_distance_to_finish,min_speed_after_start,run_id,command_tested,tick_delay,command_duration,csv_file
hit_obstacle,"0      1.678717
1      1.678717
2      1.678717
3      1.678717
4      1.678717
         ...   
115    1.678717
116    1.678717
117    1.678717
118    1.678717
119    1.678717
Name: max_cte_during_run, Length: 120, dtype: float64",86,False,True,False,False,False,False,0.05485325679183,14.512960574224818,3.0708404547252757,15.113794906942422,3.0708404547252757,0.05485325679183,25,LEFT,0,24,run_1.csv
hit_obstacle,"0      1.693212
1      1.693212
2      1.693212
3      1.693212
4      1.693212
         ...   
115    1.693212
116    1.693212
117    1.693212
118    1.693212
119    1.693212
Name: max_cte_during_run, Length: 120, dtype: float64",85,False,True,False,False,False,False,0.0115874269977211,14.742697405299506,3.75422521271562,15.121269897045956,3.75422521271562,0.0115874269977211,33,LEFT,1,1,run_1.csv
hit_obstacle,"0      1.703267
1      1.703267
2      1.703267
3      1.703267
4      1.703267
         ...   
115    1.703267
116    1.703267
117    1.703267
118    1.703267
119    1.703267
Name: max_cte_during_run, Length: 120, dtype: float64",91,False,True,False,False,False,False,0.0231479182839393,14.409891503700411,3.9813789302741864,15.167737503661595,3.9813789302741864,0.0231479182839393,34,LEFT,1,2,run_1.csv
hit_obstacle,"0      1.679059
1      1.679059
2      1.679059
3      1.679059
4      1.679059
         ...   
115    1.679059
116    1.679059
117    1.679059
118    1.679059
119    1.679059
Name: max_cte_during_run, Length: 120, dtype: float64",87,False,True,False,False,False,False,0.0116002857685089,14.671093757760126,3.1162030073356832,15.10492904274411,3.1162030073356832,0.0116002857685089,36,LEFT,1,4,run_1.csv
hit_obstacle,"0      1.692816
1      1.692816
2      1.692816
3      1.692816
4      1.692816
         ...   
115    1.692816
116    1.692816
117    1.692816
118    1.692816
119    1.692816
Name: max_cte_during_run, Length: 120, dtype: float64",91,False,True,False,False,False,False,0.0132015412673354,14.787544245954201,3.88133393280741,15.213527518560026,3.88133393280741,0.0132015412673354,37,LEFT,1,5,run_1.csv
hit_obstacle,"0      1.744972
1      1.744972
2      1.744972
3      1.744972
4      1.744972
         ...   
115    1.744972
116    1.744972
117    1.744972
118    1.744972
119    1.744972
Name: max_cte_during_run, Length: 120, dtype: float64",86,False,True,False,False,False,False,0.0230742171406745,13.809550448547633,6.035313487687062,15.199637842053804,6.035313487687062,0.0230742171406745,38,LEFT,1,6,run_1.csv
hit_obstacle,"0      1.690475
1      1.690475
2      1.690475
3      1.690475
4      1.690475
         ...   
115    1.690475
116    1.690475
117    1.690475
118    1.690475
119    1.690475
Name: max_cte_during_run, Length: 120, dtype: float64",93,False,True,False,False,False,False,0.0208477843552827,14.636346426977022,3.4785031230120524,15.167882252885514,3.4785031230120524,0.0208477843552827,39,LEFT,1,7,run_1.csv
hit_obstacle,"0      1.662371
1      1.662371
2      1.662371
3      1.662371
4      1.662371
         ...   
115    1.662371
116    1.662371
117    1.662371
118    1.662371
119    1.662371
Name: max_cte_during_run, Length: 120, dtype: float64",89,False,True,False,False,False,False,0.0351409390568733,14.676905871099235,2.61709147898398,15.11721865505774,2.61709147898398,0.0351409390568733,42,LEFT,1,10,run_1.csv
hit_obstacle,"0      1.711065
1      1.711065
2      1.711065
3      1.711065
4      1.711065
         ...   
115    1.711065
116    1.711065
117    1.711065
118    1.711065
119    1.711065
Name: max_cte_during_run, Length: 120, dtype: float64",84,False,True,False,False,False,False,0.0177450515329837,14.28590385387026,4.160235055417508,15.020921517976348,4.160235055417508,0.0177450515329837,44,LEFT,1,12,run_1.csv
hit_obstacle,"0      1.692503
1      1.692503
2      1.692503
3      1.692503
4      1.692503
         ...   
115    1.692503
116    1.692503
117    1.692503
118    1.692503
119    1.692503
Name: max_cte_during_run, Length: 120, dtype: float64",91,False,True,False,False,False,False,0.0049341721460223,14.74150175752376,3.5362338122557504,15.324675270780515,3.5362338122557504,0.0049341721460223,45,LEFT,1,13,run_1.csv
