tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.0013959907784379631,32,17.4100157363792,0.16499894857406616,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.67666625976562,54.528202056884766,-75.26641845703125,54.43671417236328,4,RIGHT,True,1.5196019726420606
2,0.006754535939098476,33,17.384736799928234,0.3104184567928314,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.70205688476562,54.52943420410156,-75.31633758544922,54.433868408203125,4,RIGHT,True,1.5196019726420606
3,0.00982421158885706,34,17.343953311280327,0.5101198554039001,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.74284362792969,54.528324127197266,-75.36625671386719,54.43102264404297,4,RIGHT,True,1.5196019726420606
4,0.010274142048061347,35,17.287678078600862,0.6401993632316589,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.79903411865234,54.52523422241211,-75.41617584228516,54.42817306518555,4,RIGHT,True,1.5196019726420606
5,0.010802331711232824,36,17.216144542932067,0.7575097680091858,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.8704605102539,54.52131652832031,-75.46609497070312,54.42532730102539,4,RIGHT,True,1.5196019726420606
6,0.011389183683688688,38,17.128416702526764,0.9758427739143372,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.95806121826172,54.51658630371094,-75.56593322753906,54.41963195800781,4,RIGHT,True,1.5196019726420606
7,0.011773291953944033,40,17.026833409646983,1.0825001001358032,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.05950164794922,54.51118469238281,-75.665771484375,54.4139404296875,4,RIGHT,True,1.5196019726420606
8,0.011922183885101096,42,16.909810148585862,1.2289624214172363,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.1763687133789,54.50510787963867,-75.76560974121094,54.40824508666992,4,RIGHT,True,1.5196019726420606
9,0.012802121680296466,45,16.779538982179755,1.3418831825256348,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.30644989013672,54.49806213378906,-75.91536712646484,54.39970397949219,4,RIGHT,True,1.5196019726420606
10,0.013379746997098742,48,16.633421980921554,1.4999374151229858,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.45236206054688,54.49030303955078,-76.06511688232422,54.39116287231445,4,RIGHT,True,1.5196019726420606
11,0.01399469314610888,51,16.472132025649245,1.648893117904663,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.6134262084961,54.48174285888672,-76.21487426757812,54.38262176513672,4,RIGHT,True,1.5196019726420606
12,0.01468003067020324,54,16.296356829032295,1.792685866355896,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.78895568847656,54.47241973876953,-76.36463165283203,54.374080657958984,4,RIGHT,True,1.5196019726420606
13,0.015411356557534058,58,16.106539052083523,1.9323275089263916,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.97850799560547,54.46234893798828,-76.5643081665039,54.36268997192383,4,RIGHT,True,1.5196019726420606
14,0.016197423833896926,62,15.903099163704772,2.0681192874908447,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.1816635131836,54.45155715942383,-76.76398468017578,54.35130310058594,4,RIGHT,True,1.5196019726420606
15,0.017036871180173965,67,15.686419111649933,2.200179100036621,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.39804077148438,54.4400634765625,-77.01358032226562,54.337066650390625,4,RIGHT,True,1.5196019726420606
16,0.017925394142140578,71,15.4568577744848,2.328566551208496,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.62728118896484,54.42788314819336,-77.2132568359375,54.325679779052734,4,RIGHT,True,1.5196019726420606
17,0.01886661482015816,76,15.214812995875986,2.453373908996582,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.86898803710938,54.41504669189453,-77.46285247802734,54.31144332885742,4,RIGHT,True,1.5196019726420606
18,0.01985632526144189,81,14.960612970870486,2.574759006500244,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.12283325195312,54.40156555175781,-77.71244049072266,54.29720687866211,4,RIGHT,True,1.5196019726420606
19,0.020893705273407292,86,14.694632478024204,2.693268299102783,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.38844299316406,54.38746643066406,-77.9620361328125,54.28297424316406,4,RIGHT,True,1.5196019726420606
20,0.022001598180023604,92,14.417708695193529,2.79407000541687,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.66497802734375,54.372737884521484,-78.26155090332031,54.26588821411133,4,RIGHT,True,1.5196019726420606
21,0.023527098436992848,97,14.132181812919356,2.8855061531066895,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.95010375976562,54.3575439453125,-78.51114654541016,54.25165557861328,4,RIGHT,True,1.5196019726420606
22,0.025148465282719995,103,13.837072216129531,2.9847195148468018,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.24480438232422,54.34193420410156,-78.81066131591797,54.23457336425781,4,RIGHT,True,1.5196019726420606
23,0.02684296133518556,109,13.532028719273212,3.084794521331787,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.54943084716797,54.32589340209961,-79.11017608642578,54.217491149902344,4,RIGHT,True,1.5196019726420606
