tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.3563648274110055,33,17.37494190587672,2.8962504863739014,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.7374038696289,54.9042854309082,-75.31633758544922,54.433868408203125,8,LEFT,True,1.039264757784936
2,0.5247442756335483,35,17.264117835157226,1.398201823234558,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.85942840576172,55.034549713134766,-75.41617584228516,54.42817306518555,8,LEFT,True,1.039264757784936
3,0.5318976703131361,38,17.120831710476782,1.5300711393356323,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.00306701660156,55.03232955932617,-75.56593322753906,54.41963195800781,8,LEFT,True,1.039264757784936
4,0.5216236909206365,41,16.960641901059567,1.6855602264404297,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.16277313232422,55.01980209350586,-75.71569061279297,54.41109085083008,8,LEFT,True,1.039264757784936
5,0.5098195492084462,45,16.786211027317428,1.821487545967102,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.33659362792969,55.00520706176758,-75.91536712646484,54.39970397949219,8,LEFT,True,1.039264757784936
6,0.4968950147433386,49,16.59823242952076,1.9545493125915527,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.52384948730469,54.988739013671875,-76.11504364013672,54.38831329345703,8,LEFT,True,1.039264757784936
7,0.48260312529049393,53,16.397106841180666,2.0837771892547607,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.72412872314453,54.97028732299805,-76.31471252441406,54.37692642211914,8,LEFT,True,1.039264757784936
8,0.4667120777384058,57,16.183132674437992,2.210376024246216,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.93711853027344,54.94969940185547,-76.51438903808594,54.36553955078125,8,LEFT,True,1.039264757784936
9,0.449038250855311,61,15.956626136007726,2.3337113857269287,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.16249084472656,54.926849365234375,-76.71406555175781,54.354148864746094,8,LEFT,True,1.039264757784936
10,0.4294196176518382,66,15.717925956569593,2.453660726547241,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.39989471435547,54.90160369873047,-76.96366119384766,54.33991241455078,8,LEFT,True,1.039264757784936
11,0.407690466148378,71,15.467388276819385,2.5702600479125977,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.64896392822266,54.87384796142578,-77.2132568359375,54.325679779052734,8,LEFT,True,1.039264757784936
12,0.3837331524769994,76,15.205351484215175,2.6835577487945557,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.90934753417969,54.84342956542969,-77.46285247802734,54.31144332885742,8,LEFT,True,1.039264757784936
13,0.35739030566607827,82,14.932160227424484,2.7936339378356934,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.18069458007812,54.81025695800781,-77.76235961914062,54.29436111450195,8,LEFT,True,1.039264757784936
14,0.3351801981595276,87,14.647990959844226,2.9003448486328125,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.4631118774414,54.777626037597656,-78.01195526123047,54.28012466430664,8,LEFT,True,1.039264757784936
15,0.3143864894762093,93,14.353254598747162,3.0039772987365723,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.75605773925781,54.74403381347656,-78.31147003173828,54.26304244995117,8,LEFT,True,1.039264757784936
16,0.2922754299122056,99,14.048277135177328,3.1046648025512695,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.05912780761719,54.708553314208984,-78.6109848022461,54.2459602355957,8,LEFT,True,1.039264757784936
17,0.26870805585009816,105,13.733374545638364,3.202446699142456,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.37200164794922,54.671112060546875,-78.9104995727539,54.228878021240234,8,LEFT,True,1.039264757784936
18,0.24363705891973045,112,13.408827858448802,3.2973692417144775,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.69439697265625,54.63166427612305,-79.25992584228516,54.208946228027344,8,LEFT,True,1.039264757784936
19,0.22218059736968218,119,13.074842999585423,3.389158248901367,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.02632904052734,54.5928955078125,-79.60935974121094,54.18901824951172,8,LEFT,True,1.039264757784936
20,0.20243198552584346,125,12.731746421731517,3.4784295558929443,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.36738586425781,54.55379104614258,-79.90887451171875,54.17193603515625,8,LEFT,True,1.039264757784936
21,0.1822508925874361,132,12.379820388502054,3.5650672912597656,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.71723175048828,54.51369094848633,-80.25830841064453,54.152008056640625,8,LEFT,True,1.039264757784936
22,0.1615743006903814,140,12.019322392040921,3.6491005420684814,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.07560729980469,54.472557067871094,-80.65766143798828,54.12923049926758,8,LEFT,True,1.039264757784936
23,0.14040839731363458,147,11.650533034247369,3.730527877807617,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.4422378540039,54.43044662475586,-81.00708770751953,54.10929870605469,8,LEFT,True,1.039264757784936
24,0.1187748040607553,154,11.273754525704009,3.804661750793457,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.81682586669922,54.38739776611328,-81.35652160644531,54.08937072753906,8,LEFT,True,1.039264757784936
25,0.09676656352068724,162,10.889580841721013,3.8780646324157715,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.19878387451172,54.34347915649414,-81.75587463378906,54.066593170166016,8,LEFT,True,1.039264757784936
26,0.074340357643825,170,10.498062785486567,3.9517033100128174,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.58806610107422,54.29871368408203,-82.15522003173828,54.04381561279297,8,LEFT,True,1.039264757784936
27,0.05148627643606965,178,10.099274255538097,4.023885726928711,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.98460388183594,54.25312042236328,-82.55457305908203,54.02103805541992,8,LEFT,True,1.039264757784936
28,0.028217560267608157,186,9.69340323165133,4.094045639038086,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.38821411132812,54.20670700073242,-82.95392608642578,53.99826431274414,8,LEFT,True,1.039264757784936
29,0.010738420274603302,194,9.280623213107956,4.161280632019043,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.7989501953125,54.16275405883789,-83.35327911376953,53.975486755371094,8,LEFT,True,1.039264757784936
30,-0.0029217436267688058,203,8.8611036350209,4.2271342277526855,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.21656799316406,54.12030792236328,-83.80254364013672,53.94986343383789,8,LEFT,True,1.039264757784936
31,-0.015353569683719915,211,8.435085633810932,4.290950298309326,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.6407699584961,54.07859802246094,-84.20189666748047,53.927085876464844,8,LEFT,True,1.039264757784936
32,-0.026601128834954548,220,8.002797014433439,4.352777004241943,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.07132720947266,54.03765106201172,-84.65116882324219,53.90146255493164,8,LEFT,True,1.039264757784936
33,-0.03661138496361881,229,7.564406796564129,4.412671089172363,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.50807189941406,53.997528076171875,-85.1004409790039,53.87583923339844,8,LEFT,True,1.039264757784936
34,-0.04532634707333698,237,7.120092534224948,4.470686912536621,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.9508285522461,53.958309173583984,-85.49978637695312,53.85306167602539,8,LEFT,True,1.039264757784936
35,-0.05267779160796818,246,6.670076695754176,4.526875972747803,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-84.39937591552734,53.920066833496094,-85.94905853271484,53.82743835449219,8,LEFT,True,1.039264757784936
36,-0.05861713775843732,255,6.2145279282916945,4.581290245056152,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-84.85354614257812,53.882869720458984,-86.39833068847656,53.801815032958984,8,LEFT,True,1.039264757784936
37,-0.06307354903389972,265,5.7536224142796515,4.6339802742004395,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-85.31316375732422,53.8467903137207,-86.89751434326172,53.77334213256836,8,LEFT,True,1.039264757784936
38,-0.06600854258894541,274,5.287535815462583,4.684995651245117,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-85.7780532836914,53.81189727783203,-87.34678649902344,53.747718811035156,8,LEFT,True,1.039264757784936
39,-0.06736380848109179,283,4.816389002275361,4.734381675720215,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-86.24809265136719,53.778236389160156,-87.79605865478516,53.72209548950195,8,LEFT,True,1.039264757784936
40,-0.0670969679655312,293,4.340418475456761,4.782181262969971,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-86.7230453491211,53.74588394165039,-88.29524230957031,53.69362258911133,8,LEFT,True,1.039264757784936
41,-0.06515077267454167,303,3.859722326277745,4.828410625457764,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-87.20281219482422,53.71489715576172,-88.79443359375,53.66515350341797,8,LEFT,True,1.039264757784936
42,-0.06148947497255257,312,3.3744964761687997,4.873112201690674,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-87.68719482421875,53.68531036376953,-89.24370574951172,53.639530181884766,8,LEFT,True,1.039264757784936
43,-0.05604603581725814,322,2.8848555844019232,4.9163737297058105,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-88.17607879638672,53.65721893310547,-89.74288940429688,53.61105728149414,8,LEFT,True,1.039264757784936
44,-0.05587749728078344,332,2.391033339571742,4.958078384399414,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-88.66908264160156,53.626922607421875,-90.24208068847656,53.58258819580078,8,LEFT,True,1.039264757784936
45,-0.059032662056753823,342,1.8932011587197002,4.998722553253174,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-89.1661148071289,53.595306396484375,-90.74127197265625,53.554115295410156,8,LEFT,True,1.039264757784936
46,-0.06252547124281899,353,1.3916083597604902,5.030378818511963,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,1,0,-89.66704559326172,53.56324768066406,-91.25806427001953,53.52463912963867,8,LEFT,True,1.039264757784936
47,-0.06606995133195169,363,0.8926499961863704,5.004033088684082,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,2,0,-90.1657485961914,53.53163146972656,-91.75724792480469,53.49617004394531,8,LEFT,True,1.039264757784936
48,-0.07023748553663177,373,0.3951775073011778,4.997357368469238,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,3,0,-90.66487121582031,53.49983596801758,-92.25643920898438,53.46769714355469,8,LEFT,True,1.039264757784936
49,-0.07452051303147719,383,0.127655521066308,5.056862831115723,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,4,0,-91.16622161865234,53.467708587646484,-92.75563049316406,53.43922805786133,8,LEFT,True,1.039264757784936
50,-0.07825758863465815,393,0.6179859587031337,5.021559715270996,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,5,0,-91.6680679321289,53.43505096435547,-93.25481414794922,53.4107551574707,8,LEFT,True,1.039264757784936
51,-0.08220769231453583,403,1.1192251911543347,5.03192138671875,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,6,0,-92.16961669921875,53.40248107910156,-93.7540054321289,53.382286071777344,8,LEFT,True,1.039264757784936
52,-0.08615868014357456,413,1.6225776183540979,4.996336936950684,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,7,0,-92.67243194580078,53.36983871459961,-94.2531967163086,53.35381317138672,8,LEFT,True,1.039264757784936
53,-0.09005412697229563,423,2.1239539399540672,5.026218414306641,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,8,0,-93.17304229736328,53.337493896484375,-94.75238037109375,53.32534408569336,8,LEFT,True,1.039264757784936
54,-0.10134304753791981,432,2.6260862024564795,5.014599323272705,LEFT,LEFT,True,True,False,True,True,False,False,8,0,-93.67431640625,53.30527877807617,-95.27168273925781,53.3034553527832,8,LEFT,True,1.039264757784936
55,-0.12415886119572987,440,3.1285508240426205,5.032350540161133,LEFT,LEFT,True,True,False,True,True,False,False,8,1,-94.1764144897461,53.279632568359375,-95.75968170166016,53.307395935058594,8,LEFT,True,1.039264757784936
56,-0.1303997762675042,448,3.628792005387757,5.022038459777832,LEFT,LEFT,True,True,False,True,True,False,False,8,2,-94.67774963378906,53.27458953857422,-96.24687957763672,53.33588409423828,8,LEFT,True,1.039264757784936
57,-0.10729253804965273,456,4.125331643795448,5.057953357696533,LEFT,LEFT,True,True,False,True,True,False,False,8,3,-95.17704010009766,53.30137252807617,-96.73202514648438,53.38884353637695,8,LEFT,True,1.039264757784936
58,-0.0858906322486493,464,4.623516753461849,4.999359130859375,LEFT,LEFT,True,True,False,True,True,False,False,8,4,-95.6781005859375,53.34851837158203,-97.21388244628906,53.46614456176758,8,LEFT,True,1.039264757784936
59,-0.07353664446700324,473,5.125197363540652,5.130666255950928,LEFT,LEFT,True,True,False,True,True,False,False,8,5,-96.18214416503906,53.41450500488281,-97.75054168701172,53.58195495605469,8,LEFT,True,1.039264757784936
60,-0.07021024867953643,481,5.625417584326903,5.023926734924316,LEFT,LEFT,True,True,False,True,True,False,False,8,6,-96.68366241455078,53.49592971801758,-98.22140502929688,53.71025085449219,8,LEFT,True,1.039264757784936
61,-0.07498699283697771,489,6.120409439016481,5.071044445037842,LEFT,LEFT,True,True,False,True,True,False,False,8,7,-97.17850494384766,53.59584045410156,-98.68521118164062,53.8620719909668,8,LEFT,True,1.039264757784936
