tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.36858117968879167,33,17.38887258272682,2.8969244956970215,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.72347259521484,54.90482711791992,-75.31633758544922,54.433868408203125,8,LEFT,True,0.811822778527404
2,0.5535552519799029,35,17.289703472928114,1.30828857421875,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.83416748046875,55.03938674926758,-75.41617584228516,54.42817306518555,8,LEFT,True,0.811822778527404
3,0.5667937224607679,37,17.157322101429745,1.399570107460022,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.96723937988281,55.04146957397461,-75.5160140991211,54.422481536865234,8,LEFT,True,0.811822778527404
4,0.5547559990211951,40,17.009796488642383,1.541718602180481,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.11427307128906,55.02939987182617,-75.665771484375,54.4139404296875,8,LEFT,True,0.811822778527404
5,0.537947673561712,44,16.848293330915844,1.678861379623413,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.27503967285156,55.013938903808594,-75.86544799804688,54.402549743652344,8,LEFT,True,0.811822778527404
6,0.5190549434008905,47,16.673276036933352,1.8120405673980713,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.44916534423828,54.99612045288086,-76.01520538330078,54.39400863647461,8,LEFT,True,0.811822778527404
7,0.4977962869474343,51,16.485131298229078,1.9419019222259521,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.63624572753906,54.97575378417969,-76.21487426757812,54.38262176513672,8,LEFT,True,0.811822778527404
8,0.4819151288614817,55,16.283986011963073,2.069239854812622,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.83649444580078,54.95672607421875,-76.41455078125,54.37123107910156,8,LEFT,True,0.811822778527404
9,0.46759674564622455,59,16.070278660385334,2.193135976791382,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.04927825927734,54.93684005737305,-76.61422729492188,54.35984420776367,8,LEFT,True,0.811822778527404
10,0.4517095652218227,64,15.844358309458663,2.314038038253784,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.2741470336914,54.914955139160156,-76.86382293701172,54.34560775756836,8,LEFT,True,0.811822778527404
11,0.4340014826195076,68,15.606514153488106,2.4319815635681152,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.51079559326172,54.89089584350586,-77.0634994506836,54.33422088623047,8,LEFT,True,0.811822778527404
12,0.4143485806790058,73,15.357071503265802,2.546994686126709,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.7588882446289,54.86454772949219,-77.31309509277344,54.319984436035156,8,LEFT,True,0.811822778527404
13,0.39259809212017627,78,15.096316236188525,2.65909481048584,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.01812744140625,54.83577346801758,-77.56269073486328,54.305747985839844,8,LEFT,True,0.811822778527404
14,0.36862101055040597,84,14.824558784310302,2.7683050632476807,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.28819274902344,54.804447174072266,-77.86219787597656,54.288665771484375,8,LEFT,True,0.811822778527404
