tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,-0.3356729608604212,33,17.390933254182347,2.5138356685638428,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.67899322509766,54.169437408447266,-75.31633758544922,54.433868408203125,7,RIGHT,True,1.7363961144729325
2,-0.46755034466173806,35,17.29314416903208,1.1988638639450073,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.77311706542969,54.05780792236328,-75.41617584228516,54.42817306518555,7,RIGHT,True,1.7363961144729325
3,-0.46904952910429243,37,17.163893351394027,1.373892068862915,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.90213012695312,54.04794692993164,-75.5160140991211,54.422481536865234,7,RIGHT,True,1.7363961144729325
4,-0.45951374117330407,40,17.01841196674038,1.5221563577651978,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.04754638671875,54.04359436035156,-75.665771484375,54.4139404296875,7,RIGHT,True,1.7363961144729325
5,-0.4488716469414539,43,16.858691595712756,1.66049325466156,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.20721435546875,54.03945541381836,-75.8155288696289,54.405399322509766,7,RIGHT,True,1.7363961144729325
6,-0.4372412068016026,47,16.685370380166532,1.7940560579299927,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.3804931640625,54.03544616699219,-76.01520538330078,54.39400863647461,7,RIGHT,True,1.7363961144729325
7,-0.4243800783881533,50,16.49888792773281,1.9241373538970947,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.56694793701172,54.0317268371582,-76.16495513916016,54.385467529296875,7,RIGHT,True,1.7363961144729325
8,-0.4101071559894157,54,16.299561288891343,2.051110029220581,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.76626586914062,54.02843475341797,-76.36463165283203,54.374080657958984,7,RIGHT,True,1.7363961144729325
9,-0.3942300767265878,59,16.08771651247192,2.175097703933716,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.9781265258789,54.0257453918457,-76.61422729492188,54.35984420776367,7,RIGHT,True,1.7363961144729325
10,-0.3765946346689444,63,15.863648199250775,2.296146869659424,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.20223999023438,54.0237922668457,-76.81390380859375,54.34845733642578,7,RIGHT,True,1.7363961144729325
11,-0.3570615244899061,68,15.627683063063932,2.41426682472229,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.43828582763672,54.02274703979492,-77.0634994506836,54.33422088623047,7,RIGHT,True,1.7363961144729325
12,-0.33548064273324824,73,15.380094949143267,2.5294792652130127,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.68599700927734,54.02277755737305,-77.31309509277344,54.319984436035156,7,RIGHT,True,1.7363961144729325
13,-0.3117354089279035,78,15.121195924337986,2.6418018341064453,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.945068359375,54.02402877807617,-77.56269073486328,54.305747985839844,7,RIGHT,True,1.7363961144729325
14,-0.2856544990200199,83,14.85129994827896,2.7512452602386475,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.21519470214844,54.02667236328125,-77.8122787475586,54.2915153503418,7,RIGHT,True,1.7363961144729325
15,-0.2637172104334087,89,14.570514275686508,2.8578336238861084,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.49616241455078,54.027435302734375,-78.1117935180664,54.27442932128906,7,RIGHT,True,1.7363961144729325
16,-0.24322603702869314,95,14.279209413832994,2.9616267681121826,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.78765106201172,54.02785873413086,-78.41130828857422,54.257347106933594,7,RIGHT,True,1.7363961144729325
17,-0.22145012460252517,101,13.977709860902802,3.0626420974731445,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.08937072753906,54.02891540527344,-78.71082305908203,54.240264892578125,7,RIGHT,True,1.7363961144729325
18,-0.20312584214049187,107,13.666221078564192,3.1606266498565674,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.40103149414062,54.0281867980957,-79.01033782958984,54.223182678222656,7,RIGHT,True,1.7363961144729325
19,-0.186372029459109,113,13.3450522562405,3.2561709880828857,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.72235870361328,54.02669143676758,-79.30984497070312,54.20610046386719,7,RIGHT,True,1.7363961144729325
20,-0.1692165555394761,120,13.014487863977996,3.3490560054779053,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.05309295654297,54.02511215209961,-79.6592788696289,54.18617248535156,7,RIGHT,True,1.7363961144729325
21,-0.1515801808016044,127,12.674789443524286,3.4393155574798584,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.39297485351562,54.023475646972656,-80.00871276855469,54.16624069213867,7,RIGHT,True,1.7363961144729325
22,-0.1334803561058262,133,12.32621835114834,3.526998996734619,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.74174499511719,54.02179718017578,-80.3082275390625,54.1491584777832,7,RIGHT,True,1.7363961144729325
23,-0.1149262425586529,141,11.969036212841848,3.612156629562378,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.0991439819336,54.02009201049805,-80.70757293701172,54.126380920410156,7,RIGHT,True,1.7363961144729325
24,-0.09593724206404644,148,11.603487987565082,3.6948394775390625,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.46492767333984,54.018333435058594,-81.0570068359375,54.10645294189453,7,RIGHT,True,1.7363961144729325
25,-0.0765221211758764,155,11.22982823832364,3.775102138519287,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.8388442993164,54.016536712646484,-81.40644073486328,54.08652114868164,7,RIGHT,True,1.7363961144729325
26,-0.056700456498029086,163,10.848303340481642,3.8530004024505615,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.22064971923828,54.01469421386719,-81.80579376220703,54.06374740600586,7,RIGHT,True,1.7363961144729325
