tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.36092599376280377,33,17.37532319103475,2.917024612426758,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.73690032958984,54.90275192260742,-75.31633758544922,54.433868408203125,3,LEFT,True,0.5467541744754394
2,0.5371900518385485,35,17.259914467449352,1.4392468929290771,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.8635025024414,55.03288269042969,-75.41617584228516,54.42817306518555,3,LEFT,True,0.5467541744754394
3,0.5467541744754394,38,17.111969068328996,1.5481722354888916,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.01190948486328,55.03171157836914,-75.56593322753906,54.41963195800781,3,LEFT,True,0.5467541744754394
4,0.538615080701161,42,16.949486746766084,1.689612627029419,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.17401885986328,55.02034378051758,-75.76560974121094,54.40824508666992,3,LEFT,True,0.5467541744754394
5,0.5292277212876769,45,16.773213501849597,1.8242743015289307,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.34980773925781,55.00709915161133,-75.91536712646484,54.39970397949219,3,LEFT,True,0.5467541744754394
6,0.518946199757652,49,16.58366819510832,1.9547255039215088,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.53878021240234,54.99226379394531,-76.11504364013672,54.38831329345703,3,LEFT,True,0.5467541744754394
7,0.5075055239219043,53,16.381251699489518,2.081693410873413,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.74052429199219,54.975730895996094,-76.31471252441406,54.37692642211914,3,LEFT,True,0.5467541744754394
8,0.49470955727155347,57,16.166309342433063,2.2054474353790283,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.95468139648438,54.957366943359375,-76.51438903808594,54.36553955078125,3,LEFT,True,0.5467541744754394
9,0.4803591988691026,62,15.939149517174126,2.326129198074341,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.1809310913086,54.937049865722656,-76.76398468017578,54.35130310058594,3,LEFT,True,0.5467541744754394
10,0.4642963777408292,66,15.700093614856955,2.4438107013702393,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.41893768310547,54.91463088989258,-76.96366119384766,54.33991241455078,3,LEFT,True,0.5467541744754394
11,0.4463670189140847,71,15.449444169633123,2.5585410594940186,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.66838836669922,54.8900032043457,-77.2132568359375,54.325679779052734,3,LEFT,True,0.5467541744754394
12,0.4264309872904532,77,15.187500759248733,2.6703484058380127,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.92897033691406,54.86302185058594,-77.51276397705078,54.308597564697266,3,LEFT,True,0.5467541744754394
13,0.40434805258882955,82,14.91455826788421,2.779263496398926,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.20037841796875,54.83356857299805,-77.76235961914062,54.29436111450195,3,LEFT,True,0.5467541744754394
14,0.3799606648079763,88,14.630932503362851,2.885312795639038,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.48228454589844,54.80149459838867,-78.06187438964844,54.277278900146484,3,LEFT,True,0.5467541744754394
15,0.3531345187415638,93,14.336904324512236,2.9885268211364746,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.77439880371094,54.76667404174805,-78.31147003173828,54.26304244995117,3,LEFT,True,0.5467541744754394
16,0.32372464427346614,100,14.032785711428506,3.0889391899108887,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.07640075683594,54.728973388671875,-78.66090393066406,54.24311447143555,3,LEFT,True,0.5467541744754394
17,0.298849744127476,106,13.718674695699647,3.1868467330932617,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.38850402832031,54.692020416259766,-78.96041870117188,54.22603225708008,3,LEFT,True,0.5467541744754394
18,0.27565213721995324,112,13.394925398094948,3.2818763256073,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.71022033691406,54.654266357421875,-79.25992584228516,54.208946228027344,3,LEFT,True,0.5467541744754394
19,0.25108387493824436,119,13.061870224629443,3.374220609664917,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.04113006591797,54.61466598510742,-79.60935974121094,54.18901824951172,3,LEFT,True,0.5467541744754394
20,0.22500262220179548,126,12.719765248826135,3.4639389514923096,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.38097381591797,54.573143005371094,-79.95879364013672,54.169090270996094,3,LEFT,True,0.5467541744754394
21,0.19737518792613631,133,12.368893331026767,3.551079511642456,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.7294692993164,54.52965545654297,-80.3082275390625,54.1491584777832,3,LEFT,True,0.5467541744754394
22,0.17362291058260923,140,12.009400125079653,3.6355714797973633,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.08670043945312,54.48702621459961,-80.65766143798828,54.12923049926758,3,LEFT,True,0.5467541744754394
23,0.15178189403021083,147,11.641567591217893,3.7177414894104004,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.45230102539062,54.44424057006836,-81.00708770751953,54.10929870605469,3,LEFT,True,0.5467541744754394
24,0.1295609949080459,155,11.265667815382729,3.7974936962127686,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.82594299316406,54.40058517456055,-81.40644073486328,54.08652114868164,3,LEFT,True,0.5467541744754394
25,0.10688390793080156,162,10.88195907983687,3.8748857975006104,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.20736694335938,54.35601806640625,-81.75587463378906,54.066593170166016,3,LEFT,True,0.5467541744754394
26,0.08375196919773567,170,10.490659971010507,3.9499588012695312,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.59635925292969,54.31056594848633,-82.15522003173828,54.04381561279297,3,LEFT,True,0.5467541744754394
27,0.06017074908092796,178,10.09202012718107,4.02263879776001,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-80.99267578125,54.26425552368164,-82.55457305908203,54.02103805541992,3,LEFT,True,0.5467541744754394
28,0.036169132883908155,186,9.686267400421338,4.093033790588379,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.3960952758789,54.21711730957031,-82.95392608642578,53.99826431274414,3,LEFT,True,0.5467541744754394
29,0.017943841497465727,194,9.273562757201715,4.160562515258789,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-81.80668640136719,54.17241668701172,-83.35327911376953,53.975486755371094,3,LEFT,True,0.5467541744754394
30,0.0035039498391167016,203,8.854128311863183,4.226511478424072,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.22415161132812,54.129207611083984,-83.80254364013672,53.94986343383789,3,LEFT,True,0.5467541744754394
31,-0.009700617956158761,211,8.428205119832016,4.2903971672058105,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-82.648193359375,54.08673095703125,-84.20189666748047,53.927085876464844,3,LEFT,True,0.5467541744754394
32,-0.021733352878927026,220,7.9959819719916005,4.352278232574463,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.07862091064453,54.04499816894531,-84.65116882324219,53.90146255493164,3,LEFT,True,0.5467541744754394
33,-0.03254488268649783,229,7.557674660596156,4.412214279174805,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.51522064208984,54.004085540771484,-85.1004409790039,53.87583923339844,3,LEFT,True,0.5467541744754394
34,-0.042068629756361914,238,7.113445147236806,4.470260143280029,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-83.95783233642578,53.96406555175781,-85.5497055053711,53.850215911865234,3,LEFT,True,0.5467541744754394
35,-0.05024095118089797,247,6.663515804950643,4.526467800140381,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-84.40623474121094,53.92500686645508,-85.99897766113281,53.824588775634766,3,LEFT,True,0.5467541744754394
36,-0.05701198968856889,256,6.208033015679134,4.580889701843262,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-84.86028289794922,53.886985778808594,-86.44824981689453,53.79896545410156,3,LEFT,True,0.5467541744754394
37,-0.06232780058583658,265,5.747187689512926,4.633576393127441,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-85.31978607177734,53.85006332397461,-86.89751434326172,53.77334213256836,3,LEFT,True,0.5467541744754394
38,-0.0661240663780797,274,5.281155885703273,4.684576034545898,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-85.7845687866211,53.81431198120117,-87.34678649902344,53.747718811035156,3,LEFT,True,0.5467541744754394
39,-0.0683541117386661,284,4.810097338640016,4.733916282653809,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-86.25447082519531,53.779788970947266,-87.84597778320312,53.7192497253418,3,LEFT,True,0.5467541744754394
40,-0.06896501016362812,293,4.334179397204608,4.781614780426025,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-86.72932434082031,53.74655532836914,-88.29524230957031,53.69362258911133,3,LEFT,True,0.5467541744754394
41,-0.06790289258142912,303,3.8535622974955057,4.827753067016602,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-87.20896911621094,53.71468734741211,-88.79443359375,53.66515350341797,3,LEFT,True,0.5467541744754394
42,-0.06513954754471206,312,3.3683961682552384,4.872422218322754,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-87.69325256347656,53.68421173095703,-89.24370574951172,53.639530181884766,3,LEFT,True,0.5467541744754394
43,-0.06763713604900554,322,2.8789497745298376,4.915494918823242,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-88.18175506591797,53.651512145996094,-89.74288940429688,53.61105728149414,3,LEFT,True,0.5467541744754394
44,-0.0734754915950731,332,2.3853243011396787,4.957464694976807,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-88.67445373535156,53.61745834350586,-90.24208068847656,53.58258819580078,3,LEFT,True,0.5467541744754394
45,-0.07954126168126789,342,1.8877159486723194,4.998110771179199,LANEFOLLOW,LANEFOLLOW,True,False,False,True,False,False,False,0,0,-89.17125701904297,53.583030700683594,-90.74127197265625,53.554115295410156,3,LEFT,True,0.5467541744754394
46,-0.08566079902069802,353,1.3863765730928033,5.040661334991455,LEFT,LANEFOLLOW,True,True,False,True,False,False,False,1,0,-89.67206573486328,53.5483283996582,-91.25806427001953,53.52463912963867,3,LEFT,True,0.5467541744754394
